Owner;Name;Type;Final;Array;Access
jdk.internal.module.ModuleBootstrap;ALL_MODULE_PATH;String;TRUE;FALSE;private
jdk.internal.module.ModuleBootstrap;JLMA;JavaLangModuleAccess;TRUE;FALSE;private
jdk.internal.module.ModuleBootstrap;PATCH_MODULE;String;TRUE;FALSE;private
jdk.internal.module.ModuleBootstrap;ADD_MODULES;String;TRUE;FALSE;private
jdk.internal.module.ModuleBootstrap.Counters;counters;Map<String,Long>;FALSE;FALSE;private
jdk.internal.module.ModulePatcher;JLMA;JavaLangModuleAccess;TRUE;FALSE;private
jdk.internal.module.Modules;JLA;JavaLangAccess;TRUE;FALSE;private
jdk.internal.module.Modules;topLayer;ModuleLayer;FALSE;FALSE;private
jdk.internal.module.ServicesCatalog;CLV;ClassLoaderValue<ServicesCatalog>;TRUE;FALSE;private
jdk.internal.module.SystemModuleFinders;JNUA;JavaNetUriAccess;TRUE;FALSE;private
jdk.internal.module.SystemModuleFinders;cachedSystemModuleFinder;ModuleFinder;FALSE;FALSE;private
jdk.internal.ref.Cleaner;first;Cleaner;FALSE;FALSE;private
jdk.internal.ref.Cleaner;dummyQueue;ReferenceQueue<Object>;TRUE;FALSE;private
jdk.internal.ref.CleanerFactory;commonCleaner;Cleaner;TRUE;FALSE;private
jdk.internal.ref.CleanerImpl;cleanerImplAccess;Function<Cleaner,CleanerImpl>;FALSE;FALSE;private
jdk.internal.reflect.Reflection;methodFilterMap;Map<Class<?>,String[]>;FALSE;FALSE;private
jdk.internal.reflect.Reflection;fieldFilterMap;Map<Class<?>,String[]>;FALSE;FALSE;private
jdk.internal.reflect.ReflectionFactory;soleInstance;ReflectionFactory;TRUE;FALSE;private
jdk.internal.reflect.ReflectionFactory;langReflectAccess;LangReflectAccess;FALSE;FALSE;private
jdk.internal.reflect.ReflectionFactory;hasStaticInitializerMethod;Method;FALSE;FALSE;private
jdk.internal.util.StaticProperty;JAVA_HOME;String;TRUE;FALSE;private
jdk.internal.util.StaticProperty;USER_HOME;String;TRUE;FALSE;private
jdk.internal.util.StaticProperty;JDK_SERIAL_FILTER;String;TRUE;FALSE;private
jdk.internal.util.StaticProperty;USER_DIR;String;TRUE;FALSE;private
jdk.internal.util.StaticProperty;USER_NAME;String;TRUE;FALSE;private
sun.launcher.LauncherHelper;ADD_EXPORTS;String;TRUE;FALSE;private
sun.launcher.LauncherHelper;VM_SETTINGS;String;TRUE;FALSE;private
sun.launcher.LauncherHelper;outBuf;StringBuilder;FALSE;FALSE;private
sun.launcher.LauncherHelper;defaultBundleName;String;TRUE;FALSE;private
sun.launcher.LauncherHelper;INDENT;String;TRUE;FALSE;private
sun.launcher.LauncherHelper;encoding;String;FALSE;FALSE;private
sun.launcher.LauncherHelper;LOCALE_SETTINGS;String;TRUE;FALSE;private
sun.launcher.LauncherHelper;LAUNCHER_AGENT_CLASS;String;TRUE;FALSE;private
sun.launcher.LauncherHelper;ostream;PrintStream;FALSE;FALSE;private
sun.launcher.LauncherHelper;encprop;String;TRUE;FALSE;private
sun.launcher.LauncherHelper;MAIN_CLASS;String;TRUE;FALSE;private
sun.launcher.LauncherHelper;JAVAFX_APPLICATION_MARKER;String;TRUE;FALSE;private
sun.launcher.LauncherHelper;JAVAFX_FXHELPER_CLASS_NAME_SUFFIX;String;TRUE;FALSE;private
sun.launcher.LauncherHelper;appClass;Class<?>;FALSE;FALSE;private
sun.launcher.LauncherHelper;JAVAFX_APPLICATION_CLASS_NAME;String;TRUE;FALSE;private
sun.launcher.LauncherHelper;diagprop;String;TRUE;FALSE;private
sun.launcher.LauncherHelper;PROP_SETTINGS;String;TRUE;FALSE;private
sun.launcher.LauncherHelper;ADD_OPENS;String;TRUE;FALSE;private
sun.launcher.LauncherHelper.FXHelper;JAVAFX_LAUNCH_MODE_JAR;String;TRUE;FALSE;private
sun.launcher.LauncherHelper.FXHelper;JAVAFX_LAUNCHER_CLASS_NAME;String;TRUE;FALSE;private
sun.launcher.LauncherHelper.FXHelper;JAVAFX_LAUNCH_MODE_CLASS;String;TRUE;FALSE;private
sun.launcher.LauncherHelper.FXHelper;fxLauncherClass;Class<?>;FALSE;FALSE;private
sun.launcher.LauncherHelper.FXHelper;fxLaunchName;String;FALSE;FALSE;private
sun.launcher.LauncherHelper.FXHelper;JAVAFX_LAUNCH_MODE_MODULE;String;TRUE;FALSE;private
sun.launcher.LauncherHelper.FXHelper;fxLauncherMethod;Method;FALSE;FALSE;private
sun.launcher.LauncherHelper.FXHelper;JAVAFX_GRAPHICS_MODULE_NAME;String;TRUE;FALSE;private
sun.launcher.LauncherHelper.FXHelper;fxLaunchMode;String;FALSE;FALSE;private
sun.launcher.LauncherHelper.ResourceBundleHolder;RB;ResourceBundle;TRUE;FALSE;private
sun.nio.cs.IBM437;b2cTable;String;TRUE;FALSE;private
sun.nio.cs.MS1252;b2cTable;String;TRUE;FALSE;private
sun.nio.cs.StandardCharsets;packagePrefix;String;TRUE;FALSE;private
sun.security.util.Debug;args;String;FALSE;FALSE;private
sun.util.locale.BaseLocale;CACHE;Cache;TRUE;FALSE;private
sun.util.locale.InternalLocaleBuilder;PRIVATEUSE_KEY;CaseInsensitiveChar;TRUE;FALSE;private
