Owner;Name;Type
java.lang.invoke.VarHandle$AccessMode;SET_RELEASE;java.lang.invoke.VarHandle$AccessMode
java.time.zone.ZoneOffsetTransitionRule;serialVersionUID;long
java.lang.Float;NaN;float
java.lang.Character;DIRECTIONALITY_EUROPEAN_NUMBER;byte
java.time.ZoneOffset;serialVersionUID;long
java.io.FilePermission;RECURSIVE_CHAR;char
java.time.LocalTime;HOURS_PER_DAY;int
java.lang.invoke.VarHandle$AccessMode;GET_AND_SET_ACQUIRE;java.lang.invoke.VarHandle$AccessMode
java.lang.ClassValue$ClassValueMap;PROBE_LIMIT;int
java.lang.invoke.LambdaForm$Kind;LINK_TO_CALL_SITE;java.lang.invoke.LambdaForm$Kind
java.util.concurrent.TimeUnit;MILLISECONDS;java.util.concurrent.TimeUnit
java.text.AttributedCharacterIterator$Attribute;serialVersionUID;long
java.lang.invoke.VarHandle$AccessType;GET_AND_UPDATE;java.lang.invoke.VarHandle$AccessType
java.lang.invoke.DirectMethodHandle;NF_staticOffset;byte
java.security.Provider;ALIAS_PREFIX;java.lang.String
java.net.URLConnection;contentClassPrefix;java.lang.String
java.lang.IllegalAccessException;serialVersionUID;long
java.util.ResourceBundle$Control;TTL_DONT_CACHE;long
java.lang.invoke.LambdaFormEditor;MAX_CACHE_ARRAY_SIZE;int
java.util.ResourceBundle;UNKNOWN_FORMAT;java.lang.String
java.lang.Character;OTHER_SYMBOL;byte
java.util.concurrent.TimeUnit;MICRO_SCALE;long
java.time.temporal.ChronoUnit;NANOS;java.time.temporal.ChronoUnit
java.lang.invoke.BoundMethodHandle;$assertionsDisabled;boolean
javax.crypto.Cipher;ENCRYPT_MODE;int
java.nio.file.attribute.FileTime;SECONDS_PER_DAY;long
java.lang.module.ModuleDescriptor$Requires;$assertionsDisabled;boolean
java.time.temporal.ChronoField;INSTANT_SECONDS;java.time.temporal.ChronoField
java.net.InetAddress;IPv6;int
java.lang.invoke.MethodTypeForm;LF_MH_LINKER;int
java.lang.invoke.MemberName$Factory;$assertionsDisabled;boolean
java.math.BigInteger;$assertionsDisabled;boolean
java.security.spec.InvalidParameterSpecException;serialVersionUID;long
java.lang.Thread$State;RUNNABLE;java.lang.Thread$State
java.lang.invoke.ClassSpecializer;STABLE_SIG;java.lang.String
javax.crypto.Cipher;S_YES;int
java.io.ObjectInputFilter$Status;UNDECIDED;java.io.ObjectInputFilter$Status
java.util.concurrent.ConcurrentHashMap;CELLVALUE;long
java.util.Locale;DISPLAY_SCRIPT;int
java.lang.invoke.LambdaForm;COMPILE_THRESHOLD;int
java.nio.charset.CoderResult;$assertionsDisabled;boolean
java.lang.invoke.BoundMethodHandle;FIELD_COUNT_THRESHOLD;int
java.lang.Character;MAX_VALUE;char
java.nio.file.attribute.FileTime;MIN_SECOND;long
java.lang.invoke.LambdaForm$BasicType;F_TYPE;java.lang.invoke.LambdaForm$BasicType
java.lang.Character;DIRECTIONALITY_POP_DIRECTIONAL_FORMAT;byte
java.lang.invoke.LambdaFormEditor;$assertionsDisabled;boolean
java.lang.invoke.DirectMethodHandle;FT_UNCHECKED_REF;int
java.time.Month;AUGUST;java.time.Month
java.lang.invoke.MethodTypeForm;LF_INVSTATIC;int
java.lang.Character;OTHER_NUMBER;byte
java.lang.invoke.LambdaForm$Kind;SPREAD;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;VARHANDLE_EXACT_INVOKER;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.DirectMethodHandle;$assertionsDisabled;boolean
java.io.InvalidClassException;serialVersionUID;long
java.lang.invoke.VarHandle;$assertionsDisabled;boolean
java.lang.invoke.LambdaForm$Kind;DIRECT_INVOKE_INTERFACE;java.lang.invoke.LambdaForm$Kind
java.nio.charset.CharsetEncoder;ST_FLUSHED;int
java.lang.String;LATIN1;byte
java.time.format.TextStyle;FULL;java.time.format.TextStyle
java.util.concurrent.TimeUnit;HOUR_SCALE;long
java.lang.Short;serialVersionUID;long
java.lang.invoke.Invokers;NF_checkVarHandleExactType;byte
java.lang.invoke.DirectMethodHandle;NF_allocateInstance;byte
java.lang.invoke.LambdaForm$BasicType;D_TYPE;java.lang.invoke.LambdaForm$BasicType
java.lang.invoke.MethodTypeForm;UNWRAP;int
java.net.MalformedURLException;serialVersionUID;long
java.time.Month;JANUARY;java.time.Month
java.lang.Character;MATH_SYMBOL;byte
java.lang.Double;MAX_VALUE;double
javax.crypto.Cipher;DECRYPT_MODE;int
java.lang.Integer;SIZE;int
java.lang.Class;ENUM;int
java.net.URI;L_ALPHANUM;long
java.time.Month;DECEMBER;java.time.Month
java.time.format.ResolverStyle;SMART;java.time.format.ResolverStyle
java.lang.invoke.MemberName;CALLER_SENSITIVE;int
java.lang.Double;MIN_NORMAL;double
java.lang.invoke.MethodTypeForm;MH_LIMIT;int
java.util.concurrent.ConcurrentHashMap;TREEIFY_THRESHOLD;int
jdk.internal.misc.Unsafe;BE;boolean
java.lang.System$Logger$Level;TRACE;java.lang.System$Logger$Level
jdk.internal.misc.Unsafe;INVALID_FIELD_OFFSET;int
java.lang.invoke.MethodHandleImpl$Intrinsic;IDENTITY;java.lang.invoke.MethodHandleImpl$Intrinsic
